J [A/cm^2],V [V]
0.068470681,1.605200629
0.113398444,1.680821247
0.136128123,1.728241319
0.17023902,1.768472298
0.204352077,1.804625867
0.238467269,1.836752992
0.272583804,1.866344477
0.306705533,1.886137434
0.340821589,1.916633595
