j [A/m^2],Vcell [V]
82.87961283,1.774817218
505.6819768,1.93961283
931.5370655,2.001944526
1481.027502,2.057679536
1975.568896,2.098861766
2964.651682,2.162619262
3981.208991,2.213835399
4970.291777,2.262544197
5986.849086,2.31070036
7992.489181,2.389383726
9998.129275,2.471640213
12003.76937,2.546580311
14009.40947,2.610339214
16015.04956,2.671874032
18020.68966,2.724886566
20026.32975,2.779262989
